source_id,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
2080266967444876032,,,,,,,Gaia DR3 2080266967444876032,297.0454031453664,46.32866412142783,0.5866,-2.9286,-8.474,2.2615,2016,7.105427357601002E-15
2080271674728481280,5326.634,5318.6973,5334.0664,0.0654,0.0568,0.0741,Gaia DR3 2080271674728481280,297.14879368877695,46.296924478058685,4.1224,-2.3599,-1.4291,-19.211,2016,7.105427357601002E-15
2080287892525359872,,,,,,,Gaia DR3 2080287892525359872,297.8423044790651,46.574362212838714,3.096,-13.7624,19.5864,0,2016,3.9074879957204923E-14
2080296757338392576,5802.9204,5783.9204,5821.938,-0.4177,-0.4381,-0.3965,Gaia DR3 2080296757338392576,297.48082476446075,46.58913618233233,0.6579,-2.553,-8.1821,0,2016,0
2080344586094498432,5157.6562,5145.4336,5167.3857,-0.1142,-0.1268,-0.103,Gaia DR3 2080344586094498432,296.6547471644761,46.835223853798176,2.6148,-2.653,-2.2361,3.9435,2016,0
2080386917291928832,6387.2627,6384.9946,6390.1562,-0.2144,-0.2179,-0.2105,Gaia DR3 2080386917291928832,295.8028761596735,45.98796258161476,4.7135,21.3778,-26.2903,-20.5487,2016,0
2080452613110460928,5369.369,5350.584,5385.496,0.1866,0.1653,0.2053,Gaia DR3 2080452613110460928,295.4128800764224,46.26658303787401,1.4932,8.1293,20.8881,-55.3162,2016,0
2080466185207274880,5508.0186,5467.4146,5536.525,-0.388,-0.423,-0.355,Gaia DR3 2080466185207274880,295.34272992767865,46.60221278276875,1.0619,-0.4819,-4.5433,0,2016,3.905480808314234E-14
2080562667352233728,5507.825,5496.9023,5533.538,-0.5012,-0.5128,-0.4757,Gaia DR3 2080562667352233728,296.4960476570407,47.182782264710966,2.1701,-8.0919,-17.965,-4.7723,2016,7.105427357601002E-15
2080605823183999616,5818.928,5745.015,5856.0923,-0.0758,-0.1372,-0.0334,Gaia DR3 2080605823183999616,295.9206668285653,47.44861626781819,0.7489,2.6534,-1.0674,0.171,2016,7.105427357601002E-15
2082074942519913344,5605.509,5603.45,5609.6924,-0.5191,-0.5267,-0.512,Gaia DR3 2082074942519913344,300.86400761203623,44.33754955375781,2.2598,7.9753,-0.8493,-56.5123,2016,0
